_id,objectid_1,objectid,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,hood,hood_no,acres,sqmiles,sectors,censusbloc,hudtractnu,st_area_sh,st_length,cdbguogid2,cdbgname20,stusab2018,cdbgty2018,state2018,county2018,countyname,tract2018,blkgrp2018,lowmod2018,lowmoduniv,lowmodpct2,geoid2018,cdbguogi_1,cdbgname_1,stusab2014,cdbgty2014,state2014,county2014,countyna_1,tract2014,blkgrp2014,lowmod2014,lowmodun_1,lowmodpc_1,geoid2014,lmper2018,cdbg2018,shape_area,shape_length
20020,55,42,42,003,170600,2,420031706002,Block Group 2,G5030,S,198244,0,+40.4235301,-079.9801503,South Side Slopes,73,460.632,0.716,7,1706002,15000US420031706002,2124504.97913,11898.0548732,425529,Pittsburgh,PA,51,42,3,Allegheny County,170600,2,420,900,0,15000US420031706002,425529,Pittsburgh,PA,51,42,3,Allegheny County,170600,2,710,1130,0.63,1706002,0.47,No,340967.75390625,4762.87311872122
20021,56,43,42,003,180300,2,420031803002,Block Group 2,G5030,S,158899,0,+40.4209141,-079.9926876,Allentown,3,189.608,0.295,6,1803002,15000US420031803002,1667758.63572,6405.13006551,425529,Pittsburgh,PA,51,42,3,Allegheny County,180300,2,530,665,1,15000US420031803002,425529,Pittsburgh,PA,51,42,3,Allegheny County,180300,2,295,440,0.67,1803002,0.80000001,Yes,267642.66015625,2562.92598929293
20022,57,53,42,003,151600,1,420031516001,Block Group 1,G5030,S,253681,0,+40.4231223,-079.9414143,Greenfield,37,497.028,0.773,9,1516001,15000US420031516001,2730386.12526,8854.40075808,425529,Pittsburgh,PA,51,42,3,Allegheny County,151600,1,330,1105,0,15000US420031516001,425529,Pittsburgh,PA,51,42,3,Allegheny County,151600,1,450,1230,0.37,1516001,0.30000001,No,438202.61328125,3549.59830902922
20023,58,44,42,003,180300,1,420031803001,Block Group 1,G5030,S,474339,0,+40.4247669,-079.9943810,Allentown,3,189.608,0.295,6,1803001,15000US420031803001,5043639.02649,13738.5188025,425529,Pittsburgh,PA,51,42,3,Allegheny County,180300,1,675,890,1,15000US420031803001,425529,Pittsburgh,PA,51,42,3,Allegheny County,180300,1,590,935,0.63,1803001,0.75999999,Yes,809498.5625,5500.92699506845
20024,59,45,42,003,180700,2,420031807002,Block Group 2,G5030,S,128061,0,+40.4247086,-080.0011285,Mount Washington,54,732.495,1.139,6,1807002,15000US420031807002,1378316.97171,5547.08880377,425529,Pittsburgh,PA,51,42,3,Allegheny County,180700,2,440,780,1,15000US420031807002,425529,Pittsburgh,PA,51,42,3,Allegheny County,180700,2,320,730,0.44,1807002,0.56,Yes,221217.83203125,2220.0674292917
20025,60,46,42,003,180700,3,420031807003,Block Group 3,G5030,S,136741,0,+40.4228314,-080.0010209,Mount Washington,54,732.495,1.139,6,1807003,15000US420031807003,1471754.76769,5787.06921438,425529,Pittsburgh,PA,51,42,3,Allegheny County,180700,3,740,820,1,15000US420031807003,425529,Pittsburgh,PA,51,42,3,Allegheny County,180700,3,345,850,0.41,1807003,0.89999998,Yes,236201.42578125,2316.42692504924
20026,61,47,42,003,180700,1,420031807001,Block Group 1,G5030,S,128087,0,+40.4265369,-080.0017531,Mount Washington,54,732.495,1.139,6,1807001,15000US420031807001,1398724.6133,6037.51723686,425529,Pittsburgh,PA,51,42,3,Allegheny County,180700,1,330,635,1,15000US420031807001,425529,Pittsburgh,PA,51,42,3,Allegheny County,180700,1,460,795,0.58,1807001,0.51999998,Yes,224505.390625,2416.67870826795
20027,62,48,42,003,151700,4,420031517004,Block Group 4,G5030,S,157178,0,+40.4216327,-079.9353993,Greenfield,37,497.028,0.773,9,1517004,15000US420031517004,1700527.57419,5794.40180718,425529,Pittsburgh,PA,51,42,3,Allegheny County,151700,4,305,755,0,15000US420031517004,425529,Pittsburgh,PA,51,42,3,Allegheny County,151700,4,80,850,0.09,1517004,0.40000001,No,272907.3359375,2322.06879702772
20028,63,49,42,003,151700,3,420031517003,Block Group 3,G5030,S,163400,0,+40.4225131,-079.9385272,Greenfield,37,497.028,0.773,9,1517003,15000US420031517003,1758689.68829,6459.11725276,425529,Pittsburgh,PA,51,42,3,Allegheny County,151700,3,285,870,0,15000US420031517003,425529,Pittsburgh,PA,51,42,3,Allegheny County,151700,3,245,755,0.32,1517003,0.33000001,No,282248.890625,2590.48502423554
20029,64,50,42,003,151700,2,420031517002,Block Group 2,G5030,S,291635,0,+40.4272650,-079.9345196,Greenfield,37,497.028,0.773,9,1517002,15000US420031517002,3138855.9308,10596.7049944,425529,Pittsburgh,PA,51,42,3,Allegheny County,151700,2,100,340,0,15000US420031517002,425529,Pittsburgh,PA,51,42,3,Allegheny County,151700,2,110,410,0.27,1517002,0.28999999,No,503819.703125,4242.38010722025
20030,65,54,42,003,141400,3,420031414003,Block Group 3,G5030,S,294702,0,+40.4266034,-079.9185733,Squirrel Hill South,77,1717.485,2.671,10,1414003,15000US420031414003,3171881.98053,8635.64213029,425529,Pittsburgh,PA,51,42,3,Allegheny County,141400,3,170,985,0,15000US420031414003,425529,Pittsburgh,PA,51,42,3,Allegheny County,141400,3,135,860,0.16,1414003,0.17,No,509110.9296875,3458.32336280488
20031,66,55,42,003,141400,1,420031414001,Block Group 1,G5030,S,277404,0,+40.4214399,-079.9228257,Squirrel Hill South,77,1717.485,2.671,10,1414001,15000US420031414001,2985700.90286,7865.02384043,425529,Pittsburgh,PA,51,42,3,Allegheny County,141400,1,330,985,0,15000US420031414001,425529,Pittsburgh,PA,51,42,3,Allegheny County,141400,1,90,1030,0.09,1414001,0.34,No,479154.5625,3150.18488699883
20032,67,56,42,003,141300,3,420031413003,Block Group 3,G5030,S,202656,0,+40.4320453,-079.9253363,Squirrel Hill South,77,1717.485,2.671,10,1413003,15000US420031413003,2181184.94946,6066.42033493,425529,Pittsburgh,PA,51,42,3,Allegheny County,141300,3,1150,1800,1,15000US420031413003,425529,Pittsburgh,PA,51,42,3,Allegheny County,141300,3,805,1680,0.48,1413003,0.63999999,Yes,350152.96484375,2431.57970492172
20033,68,57,42,003,250300,1,420032503001,Block Group 1,G5030,S,243738,0,+40.4584905,-080.0120067,Central Northside,19,166.475,0.259,3,2503001,15000US420032503001,2623346.37892,7703.44619025,425529,Pittsburgh,PA,51,42,3,Allegheny County,250300,1,835,1375,1,15000US420032503001,425529,Pittsburgh,PA,51,42,3,Allegheny County,250300,1,595,1280,0.46,2503001,0.61000001,Yes,421463.5234375,3086.46260263295
20034,69,58,42,003,241200,2,420032412002,Block Group 2,G5030,S,172183,0,+40.4600565,-079.9915198,Spring Garden,74,176.506,0.275,1,2412002,15000US420032412002,1860014.32761,7283.45506796,425529,Pittsburgh,PA,51,42,3,Allegheny County,241200,2,280,495,1,15000US420032412002,425529,Pittsburgh,PA,51,42,3,Allegheny County,241200,2,360,645,0.56,2412002,0.56999999,Yes,298841.2578125,2918.49439113181
20035,70,59,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750,0,+40.4611811,-079.9859947,Troy Hill,84,247.17,0.384,1,2406002,15000US420032406002,5161210.03457,14534.3785217,425529,Pittsburgh,PA,51,42,3,Allegheny County,240600,2,715,1035,1,15000US420032406002,425529,Pittsburgh,PA,51,42,3,Allegheny County,240600,2,700,1170,0.6,2406002,0.69,Yes,829258.47265625,5825.25595973966
20036,71,107,42,003,101400,2,420031014002,Block Group 2,G5030,S,115857,0,+40.4844952,-079.9284287,Morningside,52,245.637,0.382,12,1014002,15000US420031014002,1246977.15831,4677.75431154,425529,Pittsburgh,PA,51,42,3,Allegheny County,101400,2,380,745,1,15000US420031014002,425529,Pittsburgh,PA,51,42,3,Allegheny County,101400,2,195,800,0.24,1014002,0.50999999,No,200491.71875,1876.31912820565
20037,72,60,42,003,240600,1,420032406001,Block Group 1,G5030,S,729663,327616,+40.4619187,-079.9815275,Troy Hill,84,247.17,0.384,1,2406001,15000US420032406001,5541900.23426,19089.1336073,425529,Pittsburgh,PA,51,42,3,Allegheny County,240600,1,565,1240,0,15000US420032406001,425529,Pittsburgh,PA,51,42,3,Allegheny County,240600,1,950,1465,0.65,2406001,0.46000001,No,890482.80859375,7653.41630078127
20038,73,61,42,003,240600,1,420032406001,Block Group 1,G5030,S,729663,327616,+40.4619187,-079.9815275,Troy Hill,84,49.009,0.076,1,2406001,15000US420032406001,2125039.90805,8998.47499109,425529,Pittsburgh,PA,51,42,3,Allegheny County,240600,1,565,1240,0,15000US420032406001,425529,Pittsburgh,PA,51,42,3,Allegheny County,240600,1,950,1465,0.65,2406001,0.46000001,No,341474.1328125,3609.64485648931
20039,74,62,42,003,220600,2,420032206002,Block Group 2,G5030,S,166959,0,+40.4572412,-080.0051339,Central Northside,19,166.475,0.259,3,2206002,15000US420032206002,1796446.60686,5717.33103539,425529,Pittsburgh,PA,51,42,3,Allegheny County,220600,2,170,285,1,15000US420032206002,425529,Pittsburgh,PA,51,42,3,Allegheny County,220600,2,155,315,0.49,2206002,0.60000002,Yes,288604.15234375,2290.57724887669
20040,75,63,42,003,563200,3,420035632003,Block Group 3,G5030,S,315029,0,+40.4572599,-079.9976543,East Allegheny,26,151.705,0.236,3,5632003,15000US420035632003,3393753.01652,11102.628622,425529,Pittsburgh,PA,51,42,3,Allegheny County,563200,3,800,1130,1,15000US420035632003,425529,Pittsburgh,PA,51,42,3,Allegheny County,563200,3,910,1460,0.62,5632003,0.70999998,Yes,545216.14453125,4448.19281067869
20041,76,64,42,003,010300,3,420030103003,Block Group 3,G5030,S,170588,0,+40.4368784,-079.9837347,Bluff,11,210.51,0.327,15,0103003,15000US420030103003,1836027.30475,6132.57130348,425529,Pittsburgh,PA,51,42,3,Allegheny County,10300,3,160,215,1,15000US420030103003,425529,Pittsburgh,PA,51,42,3,Allegheny County,10300,3,145,190,0.76,103003,0.74000001,Yes,294785.6640625,2455.94556686764
20042,77,65,42,003,020100,6,420030201006,Block Group 6,G5030,S,211691,60090,+40.4454007,-079.9971407,Central Business District,17,411.593,0.64,16,0201006,15000US420030201006,2302223.78364,7788.86032041,425529,Pittsburgh,PA,51,42,3,Allegheny County,20100,6,120,460,0,15000US420030201006,425529,Pittsburgh,PA,51,42,3,Allegheny County,20100,6,100,260,0.38,201006,0.25999999,No,369720.30859375,3119.71958686896
20043,78,134,42,003,080700,2,420030807002,Block Group 2,G5030,S,143135,0,+40.4592964,-079.9351049,Friendship,34,68.297,0.106,12,0807002,15000US420030807002,1540568.96259,5199.26112262,425529,Pittsburgh,PA,51,42,3,Allegheny County,80700,2,660,1040,1,15000US420030807002,425529,Pittsburgh,PA,51,42,3,Allegheny County,80700,2,590,780,0.76,807002,0.63,Yes,247511.7734375,2084.98043177569
20044,79,66,42,003,981800,1,420039818001,Block Group 1,G5030,S,1652680,310067,+40.4790228,-079.8942288,Lincoln-Lemington-Belmar,47,984.873,1.532,11,9818001,15000US420039818001,17601350.5626,24294.7266526,425529,Pittsburgh,PA,51,42,3,Allegheny County,981800,1,20,20,1,15000US420039818001,425529,Pittsburgh,PA,51,42,3,Allegheny County,981800,1,0,0,0,9818001,1,Yes,2829575.3984375,9739.90475948813
20045,80,67,42,003,562000,2,420035620002,Block Group 2,G5030,S,269504,0,+40.4552789,-079.9531593,North Oakland,56,320.679,0.499,14,5620002,15000US420035620002,2916639.92254,9004.37303666,425529,Pittsburgh,PA,51,42,3,Allegheny County,562000,2,995,1090,1,15000US420035620002,425529,Pittsburgh,PA,51,42,3,Allegheny County,562000,2,1085,1425,0.76,5620002,0.91000003,Yes,468539.44140625,3610.97074575055
20046,81,68,42,003,151600,2,420031516002,Block Group 2,G5030,S,434793,0,+40.4267886,-079.9459951,Greenfield,37,497.028,0.773,9,1516002,15000US420031516002,4632623.72707,12181.7963223,425529,Pittsburgh,PA,51,42,3,Allegheny County,151600,2,260,745,0,15000US420031516002,425529,Pittsburgh,PA,51,42,3,Allegheny County,151600,2,495,1050,0.47,1516002,0.34999999,No,743575.70703125,4877.822677688
20047,82,69,42,003,160800,1,420031608001,Block Group 1,G5030,S,122567,0,+40.4229739,-079.9707670,South Side Slopes,73,460.632,0.716,7,1608001,15000US420031608001,1315510.33594,5059.60693187,425529,Pittsburgh,PA,51,42,3,Allegheny County,160800,1,355,490,1,15000US420031608001,425529,Pittsburgh,PA,51,42,3,Allegheny County,160800,1,220,465,0.47,1608001,0.72000003,Yes,211126.58984375,2026.95418345885
20048,83,76,42,003,191100,2,420031911002,Block Group 2,G5030,S,884630,0,+40.4386014,-080.0260996,Duquesne Heights,25,400.468,0.623,6,1911002,15000US420031911002,9486072.84599,13787.4250228,425529,Pittsburgh,PA,51,42,3,Allegheny County,191100,2,490,1265,0,15000US420031911002,425529,Pittsburgh,PA,51,42,3,Allegheny County,191100,2,450,1330,0.34,1911002,0.38999999,No,1523125.1796875,5524.16418623279
20049,84,70,42,003,101800,2,420031018002,Block Group 2,G5030,S,797007,0,+40.4847864,-079.9385823,Stanton Heights,79,472.615,0.735,13,1018002,15000US420031018002,8563160.35758,22835.1086216,425529,Pittsburgh,PA,51,42,3,Allegheny County,101800,2,650,1465,0,15000US420031018002,425529,Pittsburgh,PA,51,42,3,Allegheny County,101800,2,835,1740,0.48,1018002,0.44,No,1376816.046875,9150.59857083581
20050,85,71,42,003,060300,1,420030603001,Block Group 1,G5030,S,391220,0,+40.4621267,-079.9609234,Lower Lawrenceville,48,276.392,0.43,13,0603001,15000US420030603001,4184619.19953,10355.0745576,425529,Pittsburgh,PA,51,42,3,Allegheny County,60300,1,705,1210,1,15000US420030603001,425529,Pittsburgh,PA,51,42,3,Allegheny County,60300,1,1025,1420,0.72,603001,0.57999998,Yes,672367.52734375,4147.99902064784
20051,86,73,42,003,290400,3,420032904003,Block Group 3,G5030,S,275844,0,+40.3844190,-079.9867635,Carrick,16,1075.67,1.673,5,2904003,15000US420032904003,2967711.40223,11617.5879562,425529,Pittsburgh,PA,51,42,3,Allegheny County,290400,3,380,735,1,15000US420032904003,425529,Pittsburgh,PA,51,42,3,Allegheny County,290400,3,230,580,0.4,2904003,0.51999998,Yes,475747.28515625,4649.57179070063
20052,87,74,42,003,981100,1,420039811001,Block Group 1,G5030,S,876833,0,+40.4420424,-079.9063310,Point Breeze,63,645.695,1.004,10,9811001,15000US420039811001,9428733.79278,14525.9016317,425529,Pittsburgh,PA,51,42,3,Allegheny County,981100,1,0,0,0,15000US420039811001,425529,Pittsburgh,PA,51,42,3,Allegheny County,981100,1,0,0,0,9811001,0,No,1514072.1796875,5820.08925407319
20053,88,75,42,003,190300,1,420031903001,Block Group 1,G5030,S,502688,0,+40.4348905,-080.0135312,Mount Washington,54,732.495,1.139,6,1903001,15000US420031903001,5406551.29974,14878.8283225,425529,Pittsburgh,PA,51,42,3,Allegheny County,190300,1,325,1130,0,15000US420031903001,425529,Pittsburgh,PA,51,42,3,Allegheny County,190300,1,445,1240,0.36,1903001,0.28999999,No,868004.35546875,5959.5478403852
20054,89,77,42,003,191400,1,420031914001,Block Group 1,G5030,S,380257,0,+40.4292007,-080.0064823,Mount Washington,54,732.495,1.139,6,1914001,15000US420031914001,4092715.06625,13251.9266744,425529,Pittsburgh,PA,51,42,3,Allegheny County,191400,1,775,1400,1,15000US420031914001,425529,Pittsburgh,PA,51,42,3,Allegheny County,191400,1,870,1705,0.51,1914001,0.55000001,Yes,656961.96875,5308.1571295483
20055,90,78,42,003,141300,2,420031413002,Block Group 2,G5030,S,303946,0,+40.4310496,-079.9300508,Squirrel Hill South,77,1717.485,2.671,10,1413002,15000US420031413002,3271367.26913,12600.9872565,425529,Pittsburgh,PA,51,42,3,Allegheny County,141300,2,805,1770,0,15000US420031413002,425529,Pittsburgh,PA,51,42,3,Allegheny County,141300,2,635,1320,0.48,1413002,0.44999999,No,525148.07421875,5044.60518699625
20056,91,79,42,003,141300,1,420031413001,Block Group 1,G5030,S,391431,0,+40.4360169,-079.9284488,Squirrel Hill South,77,1717.485,2.671,10,1413001,15000US420031413001,4212984.74706,8749.8910959,425529,Pittsburgh,PA,51,42,3,Allegheny County,141300,1,510,1475,0,15000US420031413001,425529,Pittsburgh,PA,51,42,3,Allegheny County,141300,1,455,1460,0.31,1413001,0.34999999,No,676403.71484375,3503.57853322972
20057,92,80,42,003,141100,1,420031411001,Block Group 1,G5030,S,1226338,163168,+40.4196414,-079.9075532,Swisshelm Park,82,308.575,0.48,10,1411001,15000US420031411001,13379173.9935,20791.544629,425529,Pittsburgh,PA,51,42,3,Allegheny County,141100,1,365,1340,0,15000US420031411001,425529,Pittsburgh,PA,51,42,3,Allegheny County,141100,1,345,1335,0.26,1411001,0.27000001,No,2147119.7578125,8326.66298943165
20058,93,82,42,003,101800,1,420031018001,Block Group 1,G5030,S,400083,0,+40.4829410,-079.9336446,Stanton Heights,79,472.615,0.735,13,1018001,15000US420031018001,4306754.36961,13149.2375255,425529,Pittsburgh,PA,51,42,3,Allegheny County,101800,1,300,1040,0,15000US420031018001,425529,Pittsburgh,PA,51,42,3,Allegheny County,101800,1,355,1115,0.32,1018001,0.28999999,No,692417.58203125,5275.42826829014
20059,94,85,42,003,220600,1,420032206001,Block Group 1,G5030,S,261918,0,+40.4553043,-080.0138114,Central Northside,19,166.475,0.259,3,2206001,15000US420032206001,2799767.41636,8437.54933055,425529,Pittsburgh,PA,51,42,3,Allegheny County,220600,1,520,1160,0,15000US420032206001,425529,Pittsburgh,PA,51,42,3,Allegheny County,220600,1,565,1130,0.5,2206001,0.44999999,No,449764.6328125,3378.27802159997
20060,95,86,42,003,210700,2,420032107002,Block Group 2,G5030,S,359658,0,+40.4578695,-080.0264589,Manchester,49,179.566,0.279,3,2107002,15000US420032107002,3874642.90176,9100.22785035,425529,Pittsburgh,PA,51,42,3,Allegheny County,210700,2,360,650,1,15000US420032107002,425529,Pittsburgh,PA,51,42,3,Allegheny County,210700,2,545,900,0.61,2107002,0.55000001,Yes,622483.8046875,3646.7684294583
20061,96,87,42,003,210700,1,420032107001,Block Group 1,G5030,S,363433,0,+40.4531478,-080.0236514,Manchester,49,179.566,0.279,3,2107001,15000US420032107001,3911603.87076,8096.6431555,425529,Pittsburgh,PA,51,42,3,Allegheny County,210700,1,880,1285,1,15000US420032107001,425529,Pittsburgh,PA,51,42,3,Allegheny County,210700,1,660,1240,0.53,2107001,0.68000001,Yes,628334.05859375,3244.18237058964
20062,97,88,42,003,980100,1,420039801001,Block Group 1,G5030,S,1440881,252755,+40.4798795,-079.9165548,Highland Park,40,747.691,1.163,12,9801001,15000US420039801001,16896019.4668,26209.2530552,425529,Pittsburgh,PA,51,42,3,Allegheny County,980100,1,15,25,1,15000US420039801001,425529,Pittsburgh,PA,51,42,3,Allegheny County,980100,1,0,0,0,9801001,0.60000002,Yes,2716273.16796875,10508.9110988958
20063,98,89,42,003,010300,4,420030103004,Block Group 4,G5030,S,133877,0,+40.4373257,-079.9772756,Bluff,11,210.51,0.327,15,0103004,15000US420030103004,1440927.00834,6053.81749816,425529,Pittsburgh,PA,51,42,3,Allegheny County,10300,4,140,250,1,15000US420030103004,425529,Pittsburgh,PA,51,42,3,Allegheny County,10300,4,85,140,0.61,103004,0.56,Yes,231352.8828125,2422.96878024983
20064,99,108,42,003,110600,2,420031106002,Block Group 2,G5030,S,227776,0,+40.4752841,-079.9162654,Highland Park,40,747.691,1.163,12,1106002,15000US420031106002,2451539.35755,7011.10817655,425529,Pittsburgh,PA,51,42,3,Allegheny County,110600,2,255,900,0,15000US420031106002,425529,Pittsburgh,PA,51,42,3,Allegheny County,110600,2,155,770,0.2,1106002,0.28,No,394056.6015625,2812.30857929647
20065,100,90,42,003,101100,3,420031011003,Block Group 3,G5030,S,249635,0,+40.4818107,-079.9477736,Upper Lawrenceville,86,260.349,0.405,13,1011003,15000US420031011003,2701834.11655,10342.0179349,425529,Pittsburgh,PA,51,42,3,Allegheny County,101100,3,275,545,1,15000US420031011003,425529,Pittsburgh,PA,51,42,3,Allegheny County,101100,3,480,715,0.67,1011003,0.5,No,434371.98046875,4145.33595041974
20066,101,91,42,003,140600,3,420031406003,Block Group 3,G5030,S,184852,0,+40.4430458,-079.8953704,Point Breeze,63,645.695,1.004,10,1406003,15000US420031406003,2018678.65368,6747.65628021,425529,Pittsburgh,PA,51,42,3,Allegheny County,140600,3,400,1040,0,15000US420031406003,425529,Pittsburgh,PA,51,42,3,Allegheny County,140600,3,480,975,0.49,1406003,0.38,No,324170.6171875,2706.70534028559
20067,102,92,42,003,141400,4,420031414004,Block Group 4,G5030,S,1162800,88690,+40.4187318,-079.9174166,Squirrel Hill South,77,1717.485,2.671,10,1414004,15000US420031414004,12179194.5166,25029.5670892,425529,Pittsburgh,PA,51,42,3,Allegheny County,141400,4,830,2025,0,15000US420031414004,425529,Pittsburgh,PA,51,42,3,Allegheny County,141400,4,525,915,0.57,1414004,0.41,No,1954437.82421875,10027.7022950908
20068,103,93,42,003,191600,3,420031916003,Block Group 3,G5030,S,170636,0,+40.4126628,-080.0211465,Beechview,8,938.804,1.46,5,1916003,15000US420031916003,1836578.27334,8417.87560806,425529,Pittsburgh,PA,51,42,3,Allegheny County,191600,3,320,495,1,15000US420031916003,425529,Pittsburgh,PA,51,42,3,Allegheny County,191600,3,455,770,0.59,1916003,0.64999998,Yes,294651.02734375,3373.040409578
20069,104,94,42,003,191600,5,420031916005,Block Group 5,G5030,S,424442,0,+40.4122360,-080.0279710,Beechview,8,938.804,1.46,5,1916005,15000US420031916005,4568307.48647,10061.5867432,425529,Pittsburgh,PA,51,42,3,Allegheny County,191600,5,365,1110,0,15000US420031916005,425529,Pittsburgh,PA,51,42,3,Allegheny County,191600,5,535,1275,0.42,1916005,0.33000001,No,732936.86328125,4033.06429804915
20070,105,95,42,003,191600,2,420031916002,Block Group 2,G5030,S,494407,0,+40.4138322,-080.0172481,Beechview,8,938.804,1.46,5,1916002,15000US420031916002,5352157.61562,11976.8784017,425529,Pittsburgh,PA,51,42,3,Allegheny County,191600,2,605,1050,1,15000US420031916002,425529,Pittsburgh,PA,51,42,3,Allegheny County,191600,2,325,545,0.6,1916002,0.57999998,Yes,858737.484375,4796.79276051706
20071,106,96,42,003,191600,4,420031916004,Block Group 4,G5030,S,169148,0,+40.4137886,-080.0244240,Beechview,8,938.804,1.46,5,1916004,15000US420031916004,1820543.97027,6283.14726712,425529,Pittsburgh,PA,51,42,3,Allegheny County,191600,4,525,720,1,15000US420031916004,425529,Pittsburgh,PA,51,42,3,Allegheny County,191600,4,735,850,0.86,1916004,0.73000002,Yes,292100.48828125,2519.24881638401
20072,107,97,42,003,191700,1,420031917001,Block Group 1,G5030,S,1471688,0,+40.4043578,-080.0109294,Brookline,14,1338.669,2.082,5,1917001,15000US420031917001,15829093.191,24549.4303048,425529,Pittsburgh,PA,51,42,3,Allegheny County,191700,1,955,2175,0,15000US420031917001,425529,Pittsburgh,PA,51,42,3,Allegheny County,191700,1,1240,2480,0.5,1917001,0.44,No,2539021.0859375,9832.17047612141
20073,108,98,42,003,101600,1,420031016001,Block Group 1,G5030,S,464605,0,+40.4703739,-079.9393307,Garfield,35,294.077,0.457,12,1016001,15000US420031016001,5000519.3416,11149.6964052,425529,Pittsburgh,PA,51,42,3,Allegheny County,101600,1,790,990,1,15000US420031016001,425529,Pittsburgh,PA,51,42,3,Allegheny County,101600,1,815,945,0.86,1016001,0.80000001,Yes,803659.06640625,4467.88164980819
20074,109,99,42,003,101400,4,420031014004,Block Group 4,G5030,S,149377,0,+40.4799173,-079.9300799,Morningside,52,245.637,0.382,12,1014004,15000US420031014004,1607767.94769,6038.17834121,425529,Pittsburgh,PA,51,42,3,Allegheny County,101400,4,210,605,0,15000US420031014004,425529,Pittsburgh,PA,51,42,3,Allegheny County,101400,4,250,665,0.38,1014004,0.34999999,No,258465.46875,2423.3288930275
20075,110,100,42,003,101400,3,420031014003,Block Group 3,G5030,S,129999,0,+40.4750332,-079.9299711,Morningside,52,245.637,0.382,12,1014003,15000US420031014003,1398501.3563,4949.96493701,425529,Pittsburgh,PA,51,42,3,Allegheny County,101400,3,405,895,0,15000US420031014003,425529,Pittsburgh,PA,51,42,3,Allegheny County,101400,3,365,1000,0.37,1014003,0.44999999,No,224791.25390625,1985.67822440223
20076,111,101,42,003,101400,1,420031014001,Block Group 1,G5030,S,570200,302845,+40.4870341,-079.9263153,Morningside,52,245.637,0.382,12,1014001,15000US420031014001,6397673.11033,23814.5014589,425529,Pittsburgh,PA,51,42,3,Allegheny County,101400,1,460,1005,0,15000US420031014001,425529,Pittsburgh,PA,51,42,3,Allegheny County,101400,1,560,1225,0.46,1014001,0.46000001,No,1028687.67578125,9544.67801433622
20077,112,102,42,003,101100,2,420031011002,Block Group 2,G5030,S,641783,305758,+40.4849516,-079.9518640,Upper Lawrenceville,86,260.349,0.405,13,1011002,15000US420031011002,6882673.97553,16672.0625531,425529,Pittsburgh,PA,51,42,3,Allegheny County,101100,2,420,525,1,15000US420031011002,425529,Pittsburgh,PA,51,42,3,Allegheny County,101100,2,440,655,0.67,1011002,0.80000001,Yes,1106603.16015625,6681.02383546567
20078,113,103,42,003,101100,1,420031011001,Block Group 1,G5030,S,158459,0,+40.4796387,-079.9516903,Upper Lawrenceville,86,260.349,0.405,13,1011001,15000US420031011001,1705525.52689,5615.25838269,425529,Pittsburgh,PA,51,42,3,Allegheny County,101100,1,1175,1680,1,15000US420031011001,425529,Pittsburgh,PA,51,42,3,Allegheny County,101100,1,640,1155,0.55,1011001,0.69999999,Yes,274178.76953125,2251.43770055851
20079,114,104,42,003,100500,2,420031005002,Block Group 2,G5030,S,382760,0,+40.4781242,-079.9393683,Stanton Heights,79,472.615,0.735,13,1005002,15000US420031005002,3993047.06003,10790.5914817,425529,Pittsburgh,PA,51,42,3,Allegheny County,100500,2,905,1450,1,15000US420031005002,425529,Pittsburgh,PA,51,42,3,Allegheny County,100500,2,510,1145,0.45,1005002,0.62,Yes,641892.09765625,4326.43842302205
20080,115,105,42,003,090100,2,420030901002,Block Group 2,G5030,S,305316,115879,+40.4747088,-079.9639616,Central Lawrenceville,18,619.199,0.963,13,0901002,15000US420030901002,3227614.00001,8997.68308835,425529,Pittsburgh,PA,51,42,3,Allegheny County,90100,2,290,480,1,15000US420030901002,425529,Pittsburgh,PA,51,42,3,Allegheny County,90100,2,290,480,0.6,901002,0.60000002,Yes,518782.1640625,3608.46158018653
20081,116,106,42,003,090200,3,420030902003,Block Group 3,G5030,S,72097,0,+40.4664653,-079.9570743,Central Lawrenceville,18,619.199,0.963,13,0902003,15000US420030902003,775971.011914,3809.98452636,425529,Pittsburgh,PA,51,42,3,Allegheny County,90200,3,365,650,1,15000US420030902003,425529,Pittsburgh,PA,51,42,3,Allegheny County,90200,3,315,575,0.55,902003,0.56,Yes,124695.87109375,1526.65598779957
20082,117,110,42,003,562900,3,420035629003,Block Group 3,G5030,S,803514,0,+40.4176307,-079.9441160,Hazelwood,39,1017.805,1.583,9,5629003,15000US420035629003,8640481.65472,17227.8721793,425529,Pittsburgh,PA,51,42,3,Allegheny County,562900,3,345,890,0,15000US420035629003,425529,Pittsburgh,PA,51,42,3,Allegheny County,562900,3,350,850,0.41,5629003,0.38999999,No,1386495.37890625,6901.87287074971
20083,118,111,42,003,562300,6,420035623006,Block Group 6,G5030,S,123591,0,+40.4097577,-079.9425942,Hazelwood,39,1017.805,1.583,9,5623006,15000US420035623006,1330221.93728,6148.07634999,425529,Pittsburgh,PA,51,42,3,Allegheny County,562300,6,365,775,0,15000US420035623006,425529,Pittsburgh,PA,51,42,3,Allegheny County,562300,6,265,290,0.91,5623006,0.47,No,213404.59765625,2462.16829966105
